mark_x,strikePrice,underlyingPrice,theoreticalOptionValue,timeValue,volatility,vega,delta,gamma,theta,rho,p_L,stock,stock_scale,Percent_profit,classifier,prophet_yhat,prophet_yhat_upper,prophet_yhat_lower
0.65,92.5,92.18,-0.5700000000000001,-0.8900000000000001,2.640000000000001,0.02099999999999999,0.04299999999999998,-0.04200000000000001,0.013000000000000005,0.006999999999999999,0.33,29,CSX,50.769230769230774,1,86.08924393363414,91.15872718942448,81.81132401073528
0.6400000000000001,93.0,92.18,-0.5599999999999999,-0.4000000000000001,2.927,0.02300000000000001,0.064,-0.036999999999999984,0.009000000000000001,0.006,0.14,29,CSX,21.875,0,86.08924393363414,91.15872718942448,81.81132401073528
0.52,94.0,92.18,-0.5,-0.49,3.530999999999999,0.027000000000000003,0.09999999999999998,-0.020000000000000004,-0.0020000000000000018,0.006999999999999999,-0.07,29,CSX,-13.461538461538465,0,86.08924393363414,91.15872718942448,81.81132401073528
0.38,95.0,92.18,-0.41,-0.27,1.4720000000000013,0.026000000000000002,0.086,-0.007000000000000006,0.0020000000000000018,0.005,-0.08,29,CSX,-21.052631578947366,0,86.08924393363414,91.15872718942448,81.81132401073528
0.24,96.0,92.18,-0.245,-0.27,0.7959999999999994,0.025,0.079,0.008,-0.005000000000000001,0.004,-0.05,29,CSX,-20.833333333333336,0,86.08924393363414,91.15872718942448,81.81132401073528
0.15000000000000002,97.0,92.18,0.8,0.0,-31.34,-0.0020000000000000018,-0.12,0.001999999999999995,0.123,0.0,-0.03,29,CSX,-20.0,0,86.08924393363414,91.15872718942448,81.81132401073528
0.04000000000000002,98.0,92.18,0.8300000000000001,-0.020000000000000004,-34.357,-0.0050000000000000044,-0.12199999999999996,0.0,0.133,0.0,0.19,29,CSX,474.99999999999983,0,86.08924393363414,91.15872718942448,81.81132401073528
0.04,98.5,92.18,0.665,-0.04,-31.132000000000005,0.0,-0.09,0.000999999999999994,0.122,0.001,0.13,29,CSX,325.0,0,86.08924393363414,91.15872718942448,81.81132401073528
0.08,99.0,92.18,0.7599999999999999,-0.08,-34.915000000000006,-0.006999999999999999,-0.115,-0.003000000000000003,0.13,0.0,0.12,29,CSX,150.0,0,86.08924393363414,91.15872718942448,81.81132401073528
8.849999999999998,1105.0,1115.31,-9.526,-6.820000000000004,3.424000000000003,0.252,-0.025000000000000026,-0.004,0.14700000000000002,0.113,0.35,30,AZO,3.9548022598870074,0,1185.5610788843508,1241.1722445108062,1138.0306079931433
8.600000000000001,1107.5,1115.31,-9.825,-8.600000000000001,3.873000000000001,0.251,-0.018000000000000016,-0.003,0.1329999999999999,0.111,1.4,30,AZO,16.279069767441854,0,1185.5610788843508,1241.1722445108062,1138.0306079931433
