mark_x,strikePrice,underlyingPrice,theoreticalOptionValue,timeValue,volatility,vega,delta,gamma,theta,rho,p_L,stock,stock_scale,Percent_profit,classifier,prophet_yhat,prophet_yhat_upper,prophet_yhat_lower
0.2699999999999996,149.0,142.675,-0.4270000000000005,-1.44,1.7119999999999995,0.043,0.08999999999999997,0.012,-0.027000000000000003,-0.038,1.46,36,DIS,540.7407407407417,1,138.50798698581895,144.59081356975994,132.22014583247613
0.3500000000000005,150.0,142.675,-0.34299999999999997,-1.81,0.5259999999999998,0.037000000000000005,0.07099999999999995,0.013,-0.022,-0.04,1.07,36,DIS,305.71428571428527,1,138.50798698581895,144.59081356975994,132.22014583247613
0.6499999999999986,152.5,142.675,-0.23499999999999946,-1.55,0.3060000000000009,0.039,0.07299999999999995,0.019,-0.035,-0.057,0.1,36,DIS,15.384615384615419,0,138.50798698581895,144.59081356975994,132.22014583247613
0.01999999999999957,155.0,142.675,-0.14400000000000013,2.0,-0.2540000000000013,0.027000000000000003,0.04600000000000004,0.012,-0.026,-0.06,0.35,36,DIS,1750.0000000000375,1,138.50798698581895,144.59081356975994,132.22014583247613
1.3200000000000005,262.5,262.025,-1.5739999999999998,-1.08,-3.1310000000000002,0.059,0.024000000000000014,-0.0059999999999999975,0.11699999999999999,-0.031,2.43,37,DE,184.09090909090904,1,258.8563844732159,272.214978337004,246.3213609778291
1.25,265.0,262.025,-1.7739999999999991,-0.9699999999999998,-2.0009999999999977,0.06,0.040000000000000036,-0.005000000000000001,0.09699999999999998,-0.033,1.33,37,DE,106.4,1,258.8563844732159,272.214978337004,246.3213609778291
1.7300000000000004,267.5,262.025,-1.1530000000000005,0.0,-4.431999999999995,0.06,0.039999999999999925,-0.0029999999999999988,0.097,-0.039,-0.35,37,DE,-20.231213872832363,0,258.8563844732159,272.214978337004,246.3213609778291
1.2300000000000004,270.0,262.025,-0.7680000000000007,-0.94,-5.984000000000003,0.05600000000000002,0.03500000000000003,-0.0010000000000000009,0.09000000000000002,-0.044000000000000004,-0.42,37,DE,-34.14634146341462,0,258.8563844732159,272.214978337004,246.3213609778291
1.4000000000000004,272.5,262.025,-0.8789999999999996,2.1,-5.815999999999995,0.057000000000000016,0.041000000000000036,-0.0009999999999999974,0.08000000000000003,-0.04699999999999999,-0.54,37,DE,-38.57142857142856,0,258.8563844732159,272.214978337004,246.3213609778291
0.9000000000000004,275.0,262.025,-0.7489999999999988,-0.5899999999999999,-5.143000000000002,0.05500000000000002,0.04500000000000004,0.0,0.046999999999999986,-0.042,-0.52,37,DE,-57.77777777777776,0,258.8563844732159,272.214978337004,246.3213609778291
